company_id,quarter,treated,post,employee_count,company_age_years,industry_biotech,industry_software,quarters_to_treatment,employee_growth
COMP_0000,0,1,0,10,2.2499429023837294,1,0,-10,0.0
COMP_0000,1,1,0,12,2.4999429023837294,1,0,-9,0.19999999999999996
COMP_0000,2,1,0,9,2.7499429023837294,1,0,-8,-0.25
COMP_0000,3,1,0,13,2.9999429023837294,1,0,-7,0.4444444444444444
COMP_0000,4,1,0,13,3.2499429023837294,1,0,-6,0.0
COMP_0000,5,1,0,18,3.4999429023837294,1,0,-5,0.3846153846153846
COMP_0000,6,1,0,17,3.7499429023837294,1,0,-4,-0.05555555555555558
COMP_0000,7,1,0,14,3.9999429023837294,1,0,-3,-0.17647058823529416
COMP_0000,8,1,0,19,4.249942902383729,1,0,-2,0.3571428571428572
COMP_0000,9,1,0,21,4.499942902383729,1,0,-1,0.10526315789473695
COMP_0000,10,1,1,23,4.749942902383729,1,0,0,0.09523809523809534
COMP_0000,11,1,1,28,4.999942902383729,1,0,1,0.21739130434782616
COMP_0000,12,1,1,26,5.249942902383729,1,0,2,-0.0714285714285714
COMP_0000,13,1,1,29,5.499942902383729,1,0,3,0.11538461538461542
COMP_0000,14,1,1,36,5.749942902383729,1,0,4,0.24137931034482762
COMP_0000,15,1,1,43,5.999942902383729,1,0,5,0.19444444444444442
COMP_0000,16,1,1,49,6.249942902383729,1,0,6,0.13953488372093026
COMP_0000,17,1,1,48,6.499942902383729,1,0,7,-0.020408163265306145
COMP_0000,18,1,1,52,6.749942902383729,1,0,8,0.08333333333333326
COMP_0000,19,1,1,58,6.999942902383729,1,0,9,0.11538461538461542
COMP_0001,0,1,0,29,2.186080655705333,0,0,-10,0.0
COMP_0001,1,1,0,29,2.436080655705333,0,0,-9,0.0
COMP_0001,2,1,0,30,2.686080655705333,0,0,-8,0.034482758620689724
COMP_0001,3,1,0,34,2.936080655705333,0,0,-7,0.1333333333333333
COMP_0001,4,1,0,34,3.186080655705333,0,0,-6,0.0
COMP_0001,5,1,0,32,3.436080655705333,0,0,-5,-0.05882352941176472
COMP_0001,6,1,0,36,3.686080655705333,0,0,-4,0.125
COMP_0001,7,1,0,34,3.936080655705333,0,0,-3,-0.05555555555555558
COMP_0001,8,1,0,36,4.186080655705333,0,0,-2,0.05882352941176472
COMP_0001,9,1,0,32,4.436080655705333,0,0,-1,-0.11111111111111116
COMP_0001,10,1,1,36,4.686080655705333,0,0,0,0.125
COMP_0001,11,1,1,40,4.936080655705333,0,0,1,0.11111111111111116
COMP_0001,12,1,1,44,5.186080655705333,0,0,2,0.10000000000000009
COMP_0001,13,1,1,48,5.436080655705333,0,0,3,0.09090909090909083
COMP_0001,14,1,1,52,5.686080655705333,0,0,4,0.08333333333333326
COMP_0001,15,1,1,59,5.936080655705333,0,0,5,0.13461538461538458
COMP_0001,16,1,1,60,6.186080655705333,0,0,6,0.016949152542372836
COMP_0001,17,1,1,61,6.436080655705333,0,0,7,0.016666666666666607
COMP_0001,18,1,1,65,6.686080655705333,0,0,8,0.06557377049180335
COMP_0001,19,1,1,72,6.936080655705333,0,0,9,0.10769230769230775
COMP_0002,0,1,0,16,7.745085875211692,1,0,-10,0.0
COMP_0002,1,1,0,18,7.995085875211692,1,0,-9,0.125
COMP_0002,2,1,0,15,8.245085875211693,1,0,-8,-0.16666666666666663
COMP_0002,3,1,0,15,8.495085875211693,1,0,-7,0.0
COMP_0002,4,1,0,16,8.745085875211693,1,0,-6,0.06666666666666665
COMP_0002,5,1,0,17,8.995085875211693,1,0,-5,0.0625
COMP_0002,6,1,0,16,9.245085875211693,1,0,-4,-0.05882352941176472
COMP_0002,7,1,0,19,9.495085875211693,1,0,-3,0.1875
COMP_0002,8,1,0,20,9.745085875211693,1,0,-2,0.05263157894736836
COMP_0002,9,1,0,23,9.995085875211693,1,0,-1,0.1499999999999999
COMP_0002,10,1,1,20,10.245085875211693,1,0,0,-0.13043478260869568
COMP_0002,11,1,1,25,10.495085875211693,1,0,1,0.25
COMP_0002,12,1,1,32,10.745085875211693,1,0,2,0.28
COMP_0002,13,1,1,35,10.995085875211693,1,0,3,0.09375
COMP_0002,14,1,1,38,11.245085875211693,1,0,4,0.08571428571428563
COMP_0002,15,1,1,44,11.495085875211693,1,0,5,0.1578947368421053
COMP_0002,16,1,1,43,11.745085875211693,1,0,6,-0.022727272727272707
COMP_0002,17,1,1,47,11.995085875211693,1,0,7,0.09302325581395343
COMP_0002,18,1,1,51,12.245085875211693,1,0,8,0.0851063829787233
COMP_0002,19,1,1,52,12.495085875211693,1,0,9,0.019607843137254832
COMP_0003,0,1,0,12,2.3894174564527133,0,1,-10,0.0
COMP_0003,1,1,0,11,2.6394174564527133,0,1,-9,-0.08333333333333337
COMP_0003,2,1,0,11,2.8894174564527133,0,1,-8,0.0
COMP_0003,3,1,0,11,3.1394174564527133,0,1,-7,0.0
COMP_0003,4,1,0,14,3.3894174564527133,0,1,-6,0.2727272727272727
COMP_0003,5,1,0,13,3.6394174564527133,0,1,-5,-0.0714285714285714
COMP_0003,6,1,0,15,3.8894174564527133,0,1,-4,0.15384615384615374
COMP_0003,7,1,0,16,4.139417456452714,0,1,-3,0.06666666666666665
COMP_0003,8,1,0,15,4.389417456452714,0,1,-2,-0.0625
COMP_0003,9,1,0,16,4.639417456452714,0,1,-1,0.06666666666666665
COMP_0003,10,1,1,20,4.889417456452714,0,1,0,0.25
COMP_0003,11,1,1,24,5.139417456452714,0,1,1,0.19999999999999996
COMP_0003,12,1,1,30,5.389417456452714,0,1,2,0.25
COMP_0003,13,1,1,31,5.639417456452714,0,1,3,0.03333333333333344
COMP_0003,14,1,1,36,5.889417456452714,0,1,4,0.16129032258064524
COMP_0003,15,1,1,39,6.139417456452714,0,1,5,0.08333333333333326
COMP_0003,16,1,1,39,6.389417456452714,0,1,6,0.0
COMP_0003,17,1,1,44,6.639417456452714,0,1,7,0.1282051282051282
COMP_0003,18,1,1,48,6.889417456452714,0,1,8,0.09090909090909083
COMP_0003,19,1,1,54,7.139417456452714,0,1,9,0.125
COMP_0004,0,1,0,16,2.6239962342916394,0,0,-10,0.0
COMP_0004,1,1,0,12,2.8739962342916394,0,0,-9,-0.25
COMP_0004,2,1,0,14,3.1239962342916394,0,0,-8,0.16666666666666674
COMP_0004,3,1,0,16,3.3739962342916394,0,0,-7,0.1428571428571428
COMP_0004,4,1,0,15,3.6239962342916394,0,0,-6,-0.0625
COMP_0004,5,1,0,19,3.8739962342916394,0,0,-5,0.2666666666666666
